idx,algo,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword
12,label,high-speed rail network,british rail,tunnel treaty,british terminal,boring machines,full benefits,british industry,dominant trading links,,,,,,,,,,,,
13,multipartiterank,intense hurricane,hurricane gilbert,sheets,barometric pressure,hurricanes,gilbert,storm,center,caribbean islanders,record,fury,days,calm,inches,acting director,interviews,tuesday,western hemisphere,pressure,large monitor
13,label,hurricane gilbert,national hurricane center,barometric pressure,intense hurricane,western hemisphere,destructive gilbert,hurricane-force winds,category 5 hurricane,catastrophic damage,,,,,,,,,,,
14,multipartiterank,tuberculosis cases,latvia increases,number,past year,tuberculosis morbidity,mandatory treatment,anda mikelsone,data processing,mortality,increase,tuberculosis,article,infectious cases,text,cabinet,medical legislative proposal,latvia,total number,ministers,present time
14,label,tuberculosis cases,tuberculosis morbidity,mortality,mandatory treatment,tuberculosis hospitals,,,,,,,,,,,,,,,
15,multipartiterank,miss taylor,pneumonia,doctors,condition,ventilator,hospital,old actress,breathing,ill elizabeth taylor,health center,monday,proper levels,family,pleased,intensive care unit,pneumonia patient,progress,butterfield,april,58-year
15,label,elizabeth taylor,miss taylor,58-year-old actress,lung biopsy,st. john's hospital,sinus infection,health problems,pneumonia,,,,,,,,,,,,
16,multipartiterank,tall service tunnel,english channel,british,french workers,tunnel,graham fagg,saturday,last foot,philippe cozette,sides,biggest engineering project,chalk,workers,europe,france,hands,england,speed train,calais,countries
16,label,english channel,channel tunnel,brilliant sign,engineering project,high-speed train,continental europe,rail tunnels,6-foot-tall service tunnel,symbolic milestone,,,,,,,,,,,
17,multipartiterank,tours,largest marathon,closed city,runner,marathon vacations,marathons,london,sport,fun run,april,day,cities,president,marathon tours,world,sightseeing bus,miles,thorn gilligan,air fare,stockholm
17,label,marathon vacations,marathon tours,running vacation,restricted entry races,,,,,,,,,,,,,,,,
18,multipartiterank,tetsuya theodore fujita,tornadoes,fujita,denver,years,violent storms,downbursts,time,twisters,large fan,small house,university,microbursts,research,lover,miniature versions,major airports,japan,wind,likely
18,label,tornadoes,natural tornado,fujita,violent storms,thunderstorms,small twisters,scientists,,,,,,,,,,,,,
19,multipartiterank,term,representatives,senior,system,term limits,citizen congress,interests,experience,incumbents,electorate,fresh faces,desires,power,congress,washington,states,seniority system,officeholders,satisfactory performers,government
19,label,legislative term limits,executive term limits,citizen congress,officeholders,re-election rate,political process,constitutional amendment,civil rights amendment,political representative,electoral control process,,,,,,,,,,
20,multipartiterank,pounds,us insurers,total losses,mr george lloyd,gulf,dollars 15bn,eastern texas,mexico,lloyd,hurricane andrew,losses,yesterday,hurricane,alabama,power lines,storm watch last night,deaths,reinsurance risk,underwriters,severe property damage
20,label,hurricane andrew,southern florida,new orleans,severe property damage,damage claims,insurance industry losses,florida,,,,,,,,,,,,,
21,multipartiterank,mr bush,president george bush,hurricane andrew,president,florida,initial response,yesterday,andrew,white house chief,emergency relief costs,louisiana,fema,brief address,former state governor,able,power,government,disaster,nation,faltering
21,label,hurricane andrew,florida,louisiana,president george bush,election campaign,emergency relief,disaster,,,,,,,,,,,,,
22,multipartiterank,state legislators,legislature,people,term limits,years,state senators,propositions,politics,terms,assembly members,legislators,california,officials,special interests,consecutive,office,things,lot,state,city councilman
22,label,term limits,term limitations,california,statewide officeholders,state legislators,consecutive four-year terms,professional occupation,political process,special interests,negative impact,political change,,,,,,,,,
23,multipartiterank,fourth american aircraft,crash,saudi arabia,aircraft,crew members,today,region,operation desert shield,days,wing,helicopters,monday,marines,f-111,equipment,model,response,kuwait,iraq,northern arabian sea
23,label,crash,u.s. air force f-111 fighter-bomber,saudi arabia,crew members,f-model,operation desert shield,,,,,,,,,,,,,,
24,multipartiterank,war,path central committee,abimael guzman,people,shining path event,meeting,comrade feliciano,party,leaders,feliciano,path,report,president gonzalo,great decision,militants,order,document,conquer power,operational capacity,agreements
24,label,shining path central committee,shining path congress,people's war,peace accord,arrested leaders,shining path meeting,five-point document,abimael guzman reinoso,revolutionary violence,black group,,,,,,,,,,
25,multipartiterank,hearings,house agriculture committee,de la garza,fire fighting policies,next year,forest service,yellowstone national park,agriculture,last summer,stubborn wildfires,area,relief legislation,committee,drought,yellowstone,forest fire practices,people,year,catastrophe,la garza
25,label,house agriculture committee,u.s. forest service,stubborn wildfires,yellowstone national park,forest fire practices,joint hearings,fire fighting policies,summer fires,,,,,,,,,,,,
26,multipartiterank,thomas,blacks,grandparents,self,washington,security,sufficiency,white world,mutual support,education,black political activists,principal means,discrimination complaints,critics,mother,second birthday,segregation,president reagan,civil rights,grandfather
26,label,clarence thomas,grandparents,hard work,discipline,u.s. supreme court,black power,,,,,,,,,,,,,,
27,multipartiterank,unofficial tornado season,tornadoes,texas,people,april,june,weather conditions,average,killer storm,beginning,brick homes,may,house,buddy mcintyre,damage,tornado watches,car,spring thunderstorms,records,tornado warnings
27,label,tornado season,spring thunderstorms,tornadoes,texas,property damage,tornado warning,tornado watches,disaster research,,,,,,,,,,,,
28,multipartiterank,path guerrillas,guerrillas,people,abimael guzman,rebel movement,peru,shantytowns,slums,lima,maoist rebels,capital,labor unions,years,guzman,sendero luminoso,andes,reactionary forces,public support,huaycan,path
28,label,shining path guerrillas,shantytowns,rebel movement,political force,huaycan,political violence,public support,central highway,,,,,,,,,,,,
29,multipartiterank,diamond industry,mr harry oppenheimer,de beers,russia next week,time,russia,diamantaire newsletter today,mr oppenheimer,year,london,russian gold,family,visit,moscow office,big shake,diamantaire,year sales contract,republic,former soviet union,cso spokesman
29,label,harry oppenheimer,south africa,beleaguered diamond industry,unofficial exports,russian diamond industry,london-based central selling organisation,yakut government,rough diamonds,russian diamonds,exclusive sales agreement,de beers,state diamond centre,russian federation,,,,,,,
30,multipartiterank,caribbean governments,region,central american,nafta signatories,mexico,parity,canadian markets,exports,caribbean basin countries,us legislators supportive,nafta,proposals,canada,mr clinton,benefits,measures,north american free trade agreement,imminent us statement,markets,interest
30,label,north american free trade agreement,central american,caribbean basin countries,competitive mexico,possible diversion,nafta market,economic dislocation,president bill clinton,parity proposals,,,,,,,,,,,
31,multipartiterank,60th boston marathon,race,boston,last,juma ikangaa,times,top,old johnny kelley,checkpoint records,seconds,storied history,ikangaa,finish,winner,simon robert naali,early speedsters,third,83-year,many,editions
31,label,60th boston marathon,boston marathons,checkpoint records,alarming rate,respectable entrants,race run,storied history,,,,,,,,,,,,,
32,multipartiterank,fires,mount palomar area,year,california,fire officials,threat,firefighting,much,oregon,national guard equipment,area,worst fire season,dead vegetation,military reserve,severe fires,december freeze,drought,san diego,warner mcgrew,assistant fire chief
32,label,firefighting,wildfires,california,firefighters,brush fires,aggressive approach,preventive measures,fire threat,severe fires spreads,fire season,natural fire corridor,,,,,,,,,
33,multipartiterank,path safe houses,lima,president alan garcia,people,path rebels,powerful car bombs,path,weekend raids,garcia,insurgency,coastal cities,government palace,peru,police,office july,defense revolutionary movement,new front,tuesday night,wednesday,guerrilla safehouses
33,label,shining path rebels,rebel attacks,defense revolutionary movement,presidential runoff,coastal urban areas,powerful car bombs,lima,president alan garcia,political violence,indigenous peoples,shining path leader abimael guzman,,,,,,,,,
34,multipartiterank,carl lewis,lewis,johnson,world,drugs,ben johnson,francis,innuendo,urine samples,allocation,gold medal,performance,seconds,testimony,drink,athletes,track,drug use,record time,interview sunday
34,label,ben johnson,carl lewis,performance-enhancing drugs,seoul olympics,drug test,anabolic steroid stanozolol,drug use,steroid furazabol,world record-holder,,,,,,,,,,,
35,multipartiterank,race,miles,runners,wen yanmin,rex wilson,course record,marathon,yanmin,wilson,viktor gural,seconds,set last year,kicked laura konatz,women,lead pack,men,new zealand,hours,gural,china
35,label,long beach marathon,patience,winners,rex wilson,wen yanmin,course record,race,,,,,,,,,,,,,
36,multipartiterank,terms,politics,electoral system,many voters,lawmakers,congress,committee service,term limits,election,houses,voters,politicians,disgraceful campaign,government,year,incumbents,many unintended consequences,washington politicians,powerful interests,interest
36,label,term limits,electoral system,house incumbents,special-interest lobbyists,congressional elections,average re-election margin,average victory margin,washington politicians,limiting committee assignments,,,,,,,,,,,
37,multipartiterank,elizabeth taylor,pneumonia,taylor,lung biopsy,hospital,ventilator,prepared statement,physicians,doctors,actress,serious condition,weeks,biopsy,monday,surgery,cause,assistance,mohler,statement,problem
37,label,elizabeth taylor,ventilator,surgery,pneumonia,st. john's hospital,health problems,serious condition,actress,,,,,,,,,,,,
38,multipartiterank,us insurers,hurricane andrew,dollars,florida,insurance claims,industry,losses,region,claims,costliest disaster,property,yesterday,second visit,figure,estimate,damage,hurricane,casualty insurers,year,california last year
38,label,hurricane andrew,property-casualty industry,insurance claims,property claims,insurance industry,insured losses,florida losses,,,,,,,,,,,,,
39,multipartiterank,elizabeth taylor,fatal bout,near,reporters,miss taylor,old actress,aids,balcony attire,doctors,woods,statement,weintraub,hospital courtyard,58-year,actress,wednesday,jeopardy,breathing,life,several days
39,label,elizabeth taylor,near-fatal bout,pneumonia,miss taylor,st. johns hospital,58-year-old actress,,,,,,,,,,,,,,
40,multipartiterank,bank,boston,third world loans,large loan,loss reserves,money,regional banks,common equity,loans,reserve action,world,center banks,countries,analysts,assets,common equity assets,third quarter,action,competitive advantage,nations
40,label,third world loans,loan-loss reserves,boston corp,regional banks,developing countries,money-center banks,u.s. banks,,,,,,,,,,,,,
41,multipartiterank,oiled coastline,miles,exxon tanker,cleanup,largest oil spill,oil,valdez,plan,alaska sites,exxon,sludge,state environmental official,federal authorities,exxon officials monday,prince william sound,spill,huge brown bears,local environmental laws,polluted,alaskan coastline
41,label,oil spill,alaskan coastline,exxon tanker,oil-tainted shores,polluted areas,valdez spill,crude oil prices,exxon officials,cleanup plan,oiled coastline,,,,,,,,,,
42,multipartiterank,mahgoub,security men today,hassan abu,iraqi agents,former police minister,state funeral,military parade,assassination friday,president hosni mubarak,islamic extremists,president anwar sadat,government,death toll,cairo newspaper al,black suit,ahram,egypt,highest official,abu nidal,assassins
42,label,iraqi agents,egyptian moslem fundamentalists,assassination,rifaat el-mahgoub,islamic extremists,death toll,terrorist activities,egyptian politician,funeral,,,,,,,,,,,
43,multipartiterank,year,boston marathon,runners,race,miles,time boston champion,last marathon,hours,course,minutes,man,age,marathoners,time boston marathon winner,little hills,oldest competitor,john adelbert kelley,running shoe,boston,running
43,label,60th boston marathon,training,mr. kelley,john kelley,runners,two-time winner,oldest competitor,,,,,,,,,,,,,
44,multipartiterank,congressional term limitation,congress,opinion,politician,legislation,term limits,everything,sun,economists,corrupting influence,lives,common sense,office today,laws,rest,less time,solid reasons,prospect,real world,least
44,label,term limits,congressional term limitation,legislative influence,six-year limits,term-limit initiatives,congressional delegations,true citizen congress,power-lusting professional politicians,impervious congress,corrupting influence,,,,,,,,,,
45,multipartiterank,hurricane joan,mph winds,storm,many hurricanes,colombia,joan,town,open caribbean today,jim gross,potential strength,coast,unusual southern path,forecasters,national hurricane center,bolivar,people dead,northern part,state,miles,water
45,label,hurricane joan,open caribbean,hurricane watch,colombia,panama,atlantic hurricane season,tropical storms,hurricane force,,,,,,,,,,,,
46,multipartiterank,arms,right,united states,second amendment,militia,people,first congress,constitutional amendment,gun,armies,version,military service,person,amendments,congressional committee,time,members,phrases,body,constitution
46,label,gun control,constitutional amendment,gun owners,second amendment,congress,private right,arms,,,,,,,,,,,,,
47,multipartiterank,census bureau,senate,illegal aliens,state,california,large immigrant populations,city,population count,census,action,legal residency,house conference committee,seats,federal aid,pulido,count,next year,community,addition,number
47,label,illegal aliens,1990 population count,large immigrant populations,census bureau,voice vote,senators,illegal immigrants,appropriations bill,congressional seats,house seats,federal aid,,,,,,,,,
48,multipartiterank,brain diseases,sick sheep,cjd,disease,brain cells,mad cows,years,scientists,spongiform encephalopathy,animals,brains,scrapie,infectious,single disorder,area,kuru,people,family,case,questions
48,label,mad cow disease,british cattle,infected sheep,sheep disease,altered protein,cjd victims,cjd cases,infection,,,,,,,,,,,,
49,multipartiterank,intense hurricane,hurricane gilbert,winds,gilbert,storms,national hurricane center,mark zimmer,barometric pressure,miles,western hemisphere,mph,damage,category,hurricane,feet,inches,center,zimmer,meterologist,hour
49,label,hurricane gilbert,intense hurricane,western hemisphere,national hurricane center,barometric pressure,storm surge,hurricane fatalities,tropical storm force winds,,,,,,,,,,,,
50,multipartiterank,officer mark dickey,jackson,dickey,official report,white long beach police officer,car,state police officer standards,boatwright,office,television crew,incident,police misconduct,arrest,glass window,report,errors,hearing,plate,friday,black man
50,label,police brutality,police officer,arrest,racism,dickey,don jackson,,,,,,,,,,,,,,
51,multipartiterank,drought,nation,national weather service,range forecast,much,texas,normal weather,heavy rain,large area,extreme northern plains,ohio valley,rockies,thursday,new short,dry weather,tennessee valleys,upper mississippi valley,hot,severe,little relief
51,label,little relief,dry weather,long-term drought conditions,extreme drought,agriculture department,water shortage,drought region,national weather Service,northern great plains,western great lakes region,short-range forecast,,,,,,,,,
52,multipartiterank,mad cow disease,cattle,bse,disease,sick animal,human health,sheep disease,agriculture,britain,government,food,animal,report,bovine spongiform encephalopathy,sheep offal,farmers,brains,humans,export market,university college
52,label,mad cow disease,bse,sheep disease,immune system,british cattle,government,exports,scrapie,,,,,,,,,,,,
53,multipartiterank,building,stale air,good ventilation system,american office workers,flu,tuberculosis,poor ventilation system,various studies,end,old,respiratory diseases,public health officer,nardell,problem,workers,measles,millions,ventilation system,jon rosenberg,modern office buildings
53,label,tuberculosis study,infectious air,ventilation system,poor air ventilation,airborne infections,,,,,,,,,,,,,,,
54,multipartiterank,forest fire policy,recommended halt,national parks,panel,fires,western fire season next spring,fire management plans,policy,government,report,wilderness areas,start,moratorium,economic effects,agencies,nearby national forests,forest service,agriculture,drought,secretaries
54,label,forest fire policy,western fire season,national forests,fire management plans,natural fires,recommended halt,panel,,,,,,,,,,,,,
55,multipartiterank,lynda huey,johnson,francis,sprinter ben johnson,seoul,huey,urine sample,drug test,seoul olympics,steroid,ben,positive,clean,testing area,charlie,acquaintance,nbc,american athletes,physical therapist,tuesday
55,label,sprinter ben johnson,canadian coach charlie francis,urine sample,seoul olympics,banned steroid,u.s. sprinter carl lewis,drug use,lynda huey,canadian inquiry,,,,,,,,,,,
56,multipartiterank,right,second amendment,guns,regulated militia,kates,law professors,constitution,militia,bill,purpose,time magazine,amendment,registration,handgun purchases,people,free state,weapon,reasoning,individual right,good
56,label,gun control,handgun purchases,gun ownership,law enforcement,second amendment,right,constitution,kates,,,,,,,,,,,,
57,multipartiterank,nafta pact,nafta,presidency,jobs,congress,mexico,powerful texas democrats,pact,white house,labour rights,issue,capitol hill,support,prospects,governor bill clinton,environmental issues,public disaffection,fast,mr harry freeman,track procedure
57,label,north american,free trade agreement,food safety provisions,labor coalition,congressional democrats,environmental issues,hispanic americans,president bush,republican establishment,public disaffection,us election campaign,mr ross perot,nafta pact,governor bill clinton,,,,,,
58,multipartiterank,engine failure,northwest airlines jet,crash,engines,incidents,plane,accident,airline industry,detroit,board,flight,service problems,faa,air traffic controller,sunday,md-82 jet,aviation safety issues,passengers,pins,people
58,label,northwest airlines jet,emergency landings,federal crash inspectors,aviation safety issues,heavy load,dangerous in-flight engine failures,safety investigation,crash victims,detroit,,,,,,,,,,,
59,multipartiterank,mad cow disease,cattle,bse,disease,sick animal,human health,sheep disease,agriculture,britain,government,food,animal,report,bovine spongiform encephalopathy,sheep offal,brains,farmers,humans,university college,export market
59,label,mad cow disease,bovine spongiform encephalopathy,bse,sheep disease,cattle feed,british cattle,exports,imports,ban,,,,,,,,,,,
60,multipartiterank,big fires,acres,fire,smoke saturday,utah,forest,arizona,wind,saturday,miles,wyoming,new mexico,colorado,california,homes,day,fire crews,firefighters,areas,washington
60,label,forest fires,firefighters,fire crews,fire lines,fire season,federal firefighting efforts,,,,,,,,,,,,,,
61,multipartiterank,tornado,twisters,last year,nation,normal tornado deaths,national weather service,small area,term average,year,record number,month,common,frequent thunderstorms,storms,changeable spring weather,fatalities,interior hallway,may,largest tornado outbreak,tornado deaths
61,label,tornadoes,tornado deaths,tornado outbreak,public awareness,storms,tornado season,fatality,,,,,,,,,,,,,
62,multipartiterank,dollars 20bn,damage caused,hurricane andrew,southern florida,yesterday,louisiana,costliest us storms,hurricane,mississippi,property damage,new orleans,miles,florida,gulf,people,government officials,north,centre,west,pounds
62,label,hurricane andrew,new orleans,property damage,disaster losses,insurance claims,emergency services,,,,,,,,,,,,,,
63,multipartiterank,divide fire,firefighters,acres,officials,creek,gila national forest,ash,firefighters whip blazes,gila trout,fish,higher humidity,today,new mexico fire,rain,fire,lightning,western states,toby martinez,southwestern new mexico,percent
63,label,fires,blazes,western states,fire season,firefighters,new mexico fire,forest,arson fire,,,,,,,,,,,,
64,multipartiterank,thomas,friends,black,opportunism,conservative supreme court,story,senate judiciary committee,yale law school,civil rights act,minority figure,legal education,successive jobs,intellectual clones,protest lyrics,racial anger,dramatic political,segregated savannah,affirmative action,difference,liberal attitudes
64,label,clarence thomas,senate judiciary committee,supreme court nomination,thomas sowell,affirmative action program,racial minorities,political change,,,,,,,,,,,,,
65,multipartiterank,16th mile,ernesto beatriz martinez,first marathon rollins,race,beatriz martinez,mile,mission bay,marie rollins,san diego international marathon,plaatjes,maurilio castillo,women,mexico city,doug kurtis,event last year,hour bus ride,castillo,seconds,dick ledoux,third place
65,label,san diego international marathon,ernesto beatriz martinez,runners,marie rollins,mexico city,marathon course,,,,,,,,,,,,,,
66,multipartiterank,tunnel builders,tunnel,colossal tunneling machine,british,french coast,english channel,time,feet,project,train,london,way,dover,largest civil engineering project,britain,hours,eurotunnel,colin kirkland,napoleon,white cliffs
66,label,31-mile tunnel,english channel,french coast,london-paris journey,cross-channel ferry trip,freight,tunnel traffic,channel trains,british fears,tunnel builders,tunneling speed,,,,,,,,,
67,multipartiterank,hurricane seasons,bob sheets,storm,forecasters,sheets,hugo,hurricane,people,hurricane hugo last year,florida coast,south carolina,national hurricane center,attention,william gray,population,tropical storms,deadly storm,director,slosh models,new jersey
67,label,hurricane hugo,deadly storm,atlantic hurricane season,damage,south carolina,southeastern u.s. coast,forecasters,population density,william gray,,,,,,,,,,,
68,multipartiterank,path guerrillas,rebels,path political officer,peru,upper huallaga river valley,guerrillas,villages,tingo maria,revolutionary justice,officials,coca production,drug abuse,local police,peasants,people,path,homosexuality,corrupt,drug consumption,long valley
68,label,maoist shining path guerrillas,peru,revolutionary justice,puritanical honesty,rebels,coca production,corrupt local officials,,,,,,,,,,,,,
69,multipartiterank,office,white long beach police officer,jackson,los angeles county district attorney,independent investigation,mark dickey,incident,full tape,police brutality,tuesday,black man,dickey,curt livesay,allegation,nbc television crew,district attorney,jeff hill,car,saturday night incident,tape
69,label,los angeles,police force,jackson,dickey,civil rights violation,police brutality,investigation,,,,,,,,,,,,,
70,multipartiterank,pneumonia,actress elizabeth taylor,hospitalization,doctors,fifth week,complications,new infections,miss taylor,yeast infection,bacterial pneumonia,death,recovery,weeks,today,santa monica,publicist,health center,taylor,resolving,candida albicans
70,label,actress elizabeth taylor,hospitalization,miss taylor,bacterial pneumonia,yeast infection,st. john's hospital,viral pneumonia,intravenous therapy,,,,,,,,,,,,
71,multipartiterank,oil,tanker exxon valdez,biggest oil spill,sunday,coast guard,square miles,disaster area,exxon,valdez,fishermen,spill,alaska,bridge,accident,captain,barrels,ship,pristine prince william sound,time,nation
71,label,u.s. spill,oil spill,joseph hazelwood,federal regulations,clean-up efforts,987-foot tanker exxon valdez,environmental damage,captain,proper pilot,full investigation,,,,,,,,,,
72,multipartiterank,crash,average wind speed,local news reporters,united flight,travel,flight schedules,wind shear,jet,passengers,area,plane,colorado springs,years,yesterday,hours,airlines,people,pilots,witnesses,travel industry
72,label,third crash,travel industry,united flight,colorado springs,first high wind warning,last major u.s. wind shear accident,,,,,,,,,,,,,,
73,multipartiterank,tornado,people,collapsed homes,car,apartments,dead,power lines,huntsville,twister,city blocks,new jersey,national weather service,shops today,tornado watch,trees,pennsylvania,parts,city,homes,arc
73,label,tornadoes,severe thunderstorms,tornado watch,huntsville,disaster,victims,property damage,destruction,rescue,federal disaster assistance,,,,,,,,,,
74,multipartiterank,tornado facts,tornadoes,national weather service,insurance information institute,mph,april,record,miles,news accounts,paths,average,frequent,month,june,illinois,missouri,indiana,northeast,large hail,thunderstorm adjacent
74,label,tornadoes,tornado facts,thunderstorm,tornado-related deaths,,,,,,,,,,,,,,,,
75,multipartiterank,world bank president,mr lewis preston,poverty,bank,yesterday,lending,poor people,mr preston,cent,countries,explicit poverty focus,progress,poverty reduction,share,performance,specific increases,efforts,bank lending,people,week
75,label,third world,developing countries,lewis preston,world bank,poverty relief,poverty reduction,bank lending,adjustment loans,,,,,,,,,,,,
76,multipartiterank,illegal aliens,federal aid,senate,california,public officials,action,poor people,state,law,census,population,medical emergency services,house,reapportionment,los angeles county officials,years,assemblyman peter chacon,congressional seats,county,measure
76,label,illegal aliens,1990 census,u.s. senate vote,congressional seats,census counts,census bureau,california,federal aid,,,,,,,,,,,,
77,multipartiterank,peace agreement,shining path,popular war,peruvian government,main points,prison,lima,sunday review,general amnesty,surrender,weapons,people,agreement,television program,support base,country,life sentence,victors,administration,text
77,label,popular war,shining path members,peace agreement,peruvian government,10-point agreement,guerrilla army,economic support,general amnesty,,,,,,,,,,,,
78,multipartiterank,pan american world airways flight,wednesday night,lockerbie,people,crash,scotland,developments today,glance,ground,,,,,,,,,,,
78,label,pan american world airways flight 103,crash,terrorist threats,lockerbie,widespread wreckage,radical palestinian faction,terrorist bombing,bomb threat,sabotage,,,,,,,,,,,
79,multipartiterank,welfare programs,family welfare reform act,benefits,bill,welfare system,years,work programs,house,welfare recipients,level,question,investment,afdc,dependent children,families,welfare,worse,real terms,house democrats,reform
79,label,welfare reform,welfare recipients,welfare benefits,welfare programs,welfare system,american taxpayers,welfare dependency,investment,house democrats,,,,,,,,,,,
80,multipartiterank,ben johnson,olympic gold medal,canadian pride,johnson,nation hungry,canada,drug scandal,hockey superstar wayne gretzky,stripping,toronto,shame,hero,nation,head,seconds,world record time,larry heidebrecht,stanzolol,nobody,medal tuesday
80,label,ben johnson,canadians,olympic gold medal,drug scandal,stanzolol,sprinter,stripping,,,,,,,,,,,,,
81,multipartiterank,path,subversion specialist carlos tapia,abimael guzman reinoso,tapia,government favor,faction,second party congress,opposition,country,one,feliciano,abimael guzman,shining path faction,negotiations,leadership,beginning,guzman,armed actions,shock force,proposal
81,label,semi-legal party,national reconciliation,peace proposal,peace negotiations,shining path faction,government favor,second party congress,imprisoned shining path members,,,,,,,,,,,,
82,multipartiterank,ramstein air base,sgt,wednesday,military authorities,people,crash,cargo plane,first major accident,persian gulf,frankfurt,pilot,ramstein,reservists,mile,old,equipment,433rd,c-5,west germany,flight engineer
82,label,crash,u.s. military cargo plane,west germany,c-5a transport,massive aircraft,ramstein air base,reservists,major accident,victims,,,,,,,,,,,
83,multipartiterank,tuberculosis testing,health department,treatment,program,infection,homeless,tuberculosis prevention,human resources administration,tb germ,staff members,control,board,health,resolution last year,children,city schools,contracting tb,people,susceptible individuals,capacity
83,label,active tuberculosis disease,health department,tuberculosis testing,tuberculosis prevention,control,,,,,,,,,,,,,,,
84,multipartiterank,gun,criminals,violent crime,handguns,control laws,suicides,police chiefs,arms,issue,protection,periods,crime,education system,citizen,tyranny,families,firearm,many,important reason,society
